,Segment_ID,Year,Route,Latitude,Longitude,GPS_Valid,Postmile_Distance,Ahead_AADT,Ahead_Peak_Hourly,Ahead_Peak_Monthly,Ahead_Collisions,Cluster
80,23371,2014,1,34.19004177,-119.17736599999999,True,0.5279999999999987,29500,2800,30500,0,0
81,23372,2014,1,34.197655499999996,-119.17733100000001,True,1.4669999999999987,33500,2950,34000,0,0
82,23373,2014,1,34.21905939,-119.1770331,True,0.5190000000000019,41000,4150,43000,0,1
83,23374,2014,1,34.22651621,-119.17735220000002,True,0.9349999999999988,30500,3100,32500,0,0
84,23375,2014,1,34.23985071,-119.1808191,False,6.600000000000001,4500,720,6800,4,0
85,23376,2014,1,34.34319166,-119.4167003,True,0.8049999999999997,610,130,970,0,0
86,23377,2014,1,34.35097413,-119.42610020000001,True,1.6752941176470588,0,0,0,0,0
87,23378,2014,1,34.35097413,-119.42610020000001,False,15.01,6850,760,7400,10,0
88,23379,2014,1,34.58940638,-120.4083679,True,4.241000000000001,7450,780,8400,3,0
89,23380,2014,1,34.64124669,-120.43593840000001,True,1.314,12800,1300,13200,4,0
90,23381,2014,1,34.63902296,-120.4578258,True,1.9539999999999969,11600,1100,12100,14,0
91,23382,2014,1,34.66729526,-120.4575737,True,0.777000000000001,26900,2600,28000,5,0
92,23383,2014,1,34.678377600000005,-120.45585359999998,True,3.394000000000002,19200,2000,20600,3,0
93,23384,2014,1,34.71320166,-120.48901799999999,True,3.200999999999997,14400,1600,14800,3,0
94,23385,2014,1,34.75085604,-120.5204176,True,1.1510000000000034,14600,1900,15100,1,0
95,23386,2014,1,34.80105315,-120.44290430000001,True,3.735,17000,2200,17600,10,0
96,23387,2014,1,34.85423711,-120.4524932,True,0.7530000000000001,2750,460,3750,1,0
97,23388,2014,1,34.86395751,-120.45694250000001,True,6.280000000000001,3030,330,3400,4,0
98,23389,2014,1,34.88183896,-120.498144,True,7.388999999999998,2300,260,2500,2,0
99,23390,2014,1,34.95755738,-120.57401440000001,True,1.2090000000000032,5800,620,6200,1,0
100,23391,2014,1,34.97454737,-120.5710543,True,0.1980000000000004,4650,580,5200,0,0
101,23392,2014,1,34.97751591,-120.57085420000001,True,3.6147142857142858,0,0,0,0,0
102,23393,2014,1,34.97751591,-120.57085420000001,True,1.291,4900,560,5300,5,0
103,23394,2014,1,34.996187400000004,-120.57053329999998,True,5.058999999999998,5200,610,5600,8,0
104,23395,2014,1,35.04743465,-120.59153789999999,True,3.94,6400,640,6800,3,0
105,23396,2014,1,35.09689445,-120.58148829999999,True,0.6100000000000012,3250,550,4400,2,0
106,23397,2014,1,35.09820521,-120.5911344,True,2.1,9000,770,9200,6,0
107,23398,2014,1,35.10708965,-120.62328400000001,True,1.0999999999999996,7750,820,8200,0,0
108,23399,2014,1,35.12197979,-120.62979569999999,True,1.168000000000001,9200,1000,9700,5,0
109,23400,2014,1,35.13712999,-120.63802520000002,True,1.2749999999999986,10300,1100,12600,6,0
110,23401,2014,1,35.150938000000004,-120.6545886,True,0.2270000000000003,7850,1400,11700,3,0
111,23402,2014,1,35.28667343,-120.66352040000001,True,0.5710000000000015,28500,2700,30500,5,0
112,23403,2014,1,35.29410724,-120.6678705,True,0.5329999999999977,25400,2500,27500,4,0
113,23404,2014,1,35.29925872,-120.67462090000001,True,1.836000000000002,26400,2200,29000,3,0
114,23405,2014,1,35.3190217,-120.69548259999999,True,1.1799999999999995,20300,2100,21900,5,0
115,23406,2014,1,35.32110903,-120.7165767,True,1.762999999999998,22400,2100,24200,4,0
116,23407,2014,1,35.33330048,-120.74267150000001,True,5.23,18500,2000,20800,4,0
117,23408,2014,1,35.36428252,-120.82329840000001,True,0.9370000000000012,25300,2400,26500,0,0
118,23409,2014,1,35.36730086,-120.83941750000001,True,0.7979999999999983,21200,2500,23700,1,0
119,23410,2014,1,35.373554789,-120.85134818200001,True,0.517000000000003,24300,2300,26000,0,0
120,23411,2014,1,35.379981799999996,-120.8554399,True,0.9949999999999974,19600,2100,23300,2,0
121,23412,2014,1,35.39381207,-120.86046100000002,True,0.8399999999999999,15500,1900,17800,0,0
122,23413,2014,1,35.40416157,-120.8675957,True,2.9350000000000023,14900,1600,17700,5,0
123,23414,2014,1,35.44216404,-120.890316,True,1.054000000000002,7850,1100,9400,0,0
124,23415,2014,1,35.45317136,-120.9031514,True,10.031,6700,1100,8400,9,0
